POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Michael Hussey,17,17,3,733,95,52.35,566,129.5,0,6,81,17
2,Chris Gayle,16,16,4,708,175*,59.0,453,156.29,1,4,57,51
3,Virat Kohli,16,16,2,634,99,45.28,457,138.73,0,6,64,22
4,Suresh Raina,18,17,4,548,100*,42.15,365,150.13,1,4,50,18
5,Shane Watson,16,16,2,543,101,38.78,380,142.89,1,2,59,22
6,Rohit Sharma,19,19,5,538,79*,38.42,409,131.54,0,4,35,28
7,Dinesh Karthik,19,19,1,510,86,28.33,411,124.08,0,2,54,14
8,Ajinkya Rahane,18,18,4,488,68*,34.85,458,106.55,0,4,42,11
9,Rahul Dravid,18,17,1,471,65,29.43,425,110.82,0,4,64,5
10,MS Dhoni,18,16,5,461,67*,41.9,283,162.89,0,4,32,25
11,Aaron Finch,14,14,0,456,67,32.57,336,135.71,0,4,54,16
12,Robin Uthappa,16,16,0,434,75,27.12,371,116.98,0,2,42,12
13,Kieron Pollard,18,18,8,420,66*,42.0,281,149.46,0,3,27,29
14,Dwayne Smith,13,13,0,418,68,32.15,341,122.58,0,4,40,19
15,David Miller,12,12,5,418,101*,59.71,254,164.56,1,3,28,24
16,David Warner,16,16,3,410,77,31.53,323,126.93,0,4,41,14
17,Gautam Gambhir,16,16,0,406,60,25.37,343,118.36,0,4,51,5
18,AB de Villiers,14,14,4,360,64,36.0,219,164.38,0,2,34,15
19,Yusuf Pathan,16,16,5,332,72,30.18,240,138.33,0,1,30,14
20,Mahela Jayawardena,15,15,0,331,66,22.06,313,105.75,0,2,39,6
21,Murali Vijay,15,15,1,312,55,22.28,286,109.09,0,2,27,8
22,Jacques Kallis,16,16,1,311,41,20.73,322,96.58,0,0,35,3
23,Shikhar Dhawan,10,10,2,311,73*,38.87,253,122.92,0,3,37,5
24,Eoin Morgan,14,13,2,307,51,27.9,240,127.91,0,1,28,13
25,Shaun Marsh,8,8,0,300,77,37.5,249,120.48,0,3,39,4
26,Virender Sehwag,13,13,1,295,95*,24.58,233,126.6,0,1,41,6
27,Parthiv Patel,13,13,0,294,61,22.61,255,115.29,0,1,37,4
28,Adam Gilchrist,13,13,1,294,85*,24.5,229,128.38,0,1,41,6
29,Brad Hodge,17,14,7,293,54*,41.85,218,134.4,0,1,27,9
30,Stuart Binny,17,16,7,293,41*,32.55,199,147.23,0,0,25,12
31,Sachin Tendulkar,14,14,1,287,54,22.07,231,124.24,0,1,38,5
32,Ambati Rayudu,19,17,3,265,37,18.92,231,114.71,0,0,22,4
33,Mandeep Singh,16,14,1,260,77*,20.0,223,116.59,0,1,36,0
34,Manvinder Bisla,14,14,1,255,92,19.61,236,108.05,0,2,36,6
35,Hanuma Vihari,17,17,3,241,46,17.21,278,86.69,0,0,17,1
36,Yuvraj Singh,13,13,1,238,34,19.83,190,125.26,0,0,14,15
